Term,Overlap,P-value,Adjusted P-value
Antigen processing and presentation,9/77,3.0826518930550205e-12,9.494567830609464e-10
Influenza A,10/171,1.9120568644261701e-10,2.9445675712163024e-08
NOD-like receptor signaling pathway,9/178,5.9576216867932696e-09,6.116491598441089e-07
Epstein-Barr virus infection,9/201,1.7184147234217627e-08,1.3231793370347574e-06
Rheumatoid arthritis,6/91,4.998047298436223e-07,3.0787971358367136e-05
Staphylococcus aureus infection,5/68,2.7592221507308288e-06,0.00014164007040418254
Intestinal immune network for IgA production,4/48,1.7753258438002102e-05,0.0007811433712720925
Th17 cell differentiation,5/107,2.5528523405702857e-05,0.0008736428009951644
Herpes simplex virus 1 infection,9/492,2.8848099225686562e-05,0.0008885214561511461
Tuberculosis,6/179,2.5196816509408514e-05,0.0009700774356122278
