Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	15/1387	0.00010315745914530877	0.1187342354762504	0	0	3.004085556356645	27.575264382017703	NSUN2;DDX1;ZFC3H1;PPHLN1;LSM2;HNRNPM;MRPL20;EIF2S3;EXOSC9;PPP1R8;EIF4H;CSTF1;RBM7;ZC3H15;RBM6
GO_Molecular_Function_2018	Ral GTPase binding (GO:0017160)	2/12	0.0008240453340764277	0.4742380897609841	0	0	46.2962962962963	328.76319502246037	RALBP1;LSM2
GO_Molecular_Function_2018	Hsp90 protein binding (GO:0051879)	2/30	0.005208639381627921	1.0	0	0	18.51851851851852	97.35993726817772	NR3C1;PPID
GO_Molecular_Function_2018	cadherin binding (GO:0045296)	5/313	0.00540966757000598	1.0	0	0	4.4373446929357465	23.161020746052465	EIF2S3;YWHAB;EIF4H;ARGLU1;ZC3H15
GO_Molecular_Function_2018	3'-5'-exoribonuclease activity (GO:0000175)	2/31	0.00555495827597532	1.0	0	0	17.921146953405014	93.0656696593961	CNOT6L;EXOSC9
GO_Molecular_Function_2018	helicase activity (GO:0004386)	2/34	0.006655347029609498	1.0	0	0	16.33986928104575	81.90089350977463	DDX1;EIF4H
GO_Molecular_Function_2018	translation initiation factor activity (GO:0003743)	2/36	0.007439373381970406	1.0	0	0	15.432098765432098	75.63223235397408	EIF2S3;EIF4H
GO_Molecular_Function_2018	single-stranded RNA binding (GO:0003727)	2/45	0.011449586253038014	1.0	0	0	12.345679012345679	55.18273684864973	EIF4H;RBM7
GO_Molecular_Function_2018	phosphoserine residue binding (GO:0050815)	1/6	0.021409025932894128	1.0	0	0	46.2962962962963	177.96030894954777	YWHAB
GO_Molecular_Function_2018	retinol binding (GO:0019841)	1/6	0.021409025932894128	1.0	0	0	46.2962962962963	177.96030894954777	ARID4A
GO_Molecular_Function_2018	translation factor activity, RNA binding (GO:0008135)	2/67	0.02430709875949667	1.0	0	0	8.291873963515755	30.82078641191428	EIF2S3;EIF4H
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	3/179	0.026799893936774014	1.0	0	0	4.655493482309125	16.849894548678847	HNRNPM;PPP1R8;ZC3H15
GO_Molecular_Function_2018	tRNA (cytosine) methyltransferase activity (GO:0016427)	1/8	0.02844445487658815	1.0	0	0	34.72222222222222	123.60423767652115	NSUN2
GO_Molecular_Function_2018	protein transporter activity (GO:0008565)	2/80	0.03371992992356713	1.0	0	0	6.9444444444444455	23.53934877803243	KPNA6;CHMP7
GO_Molecular_Function_2018	protein serine/threonine phosphatase inhibitor activity (GO:0004865)	1/10	0.035430004760186186	1.0	0	0	27.777777777777782	92.78322849305805	PPP1R8
GO_Molecular_Function_2018	adenylate cyclase binding (GO:0008179)	1/10	0.035430004760186186	1.0	0	0	27.777777777777782	92.78322849305805	CAP1
GO_Molecular_Function_2018	histone deacetylase binding (GO:0042826)	2/85	0.03766181702438391	1.0	0	0	6.5359477124183005	21.4320817568113	MAPK8;YWHAB
GO_Molecular_Function_2018	U6 snRNA binding (GO:0017070)	1/11	0.03890418375818435	1.0	0	0	25.25252525252525	81.98619905345255	LSM2
GO_Molecular_Function_2018	poly(A)-specific ribonuclease activity (GO:0004535)	1/12	0.04236602319273223	1.0	0	0	23.14814814814815	73.18075411533883	CNOT6L
GO_Molecular_Function_2018	SUMO binding (GO:0032183)	1/12	0.04236602319273223	1.0	0	0	23.14814814814815	73.18075411533883	NR3C1
GO_Molecular_Function_2018	annealing activity (GO:0097617)	1/12	0.04236602319273223	1.0	0	0	23.14814814814815	73.18075411533883	EIF4H
GO_Molecular_Function_2018	MAP kinase activity (GO:0004707)	1/14	0.04925285580043781	1.0	0	0	19.84126984126984	59.737855699394025	MAPK8
GO_Molecular_Function_2018	ribosomal small subunit binding (GO:0043024)	1/14	0.04925285580043781	1.0	0	0	19.84126984126984	59.737855699394025	EIF4H
GO_Molecular_Function_2018	poly(A) binding (GO:0008143)	1/14	0.04925285580043781	1.0	0	0	19.84126984126984	59.737855699394025	DDX1
GO_Molecular_Function_2018	myosin V binding (GO:0031489)	1/15	0.052677934851228736	1.0	0	0	18.51851851851852	54.510344530305545	RAB11A
GO_Molecular_Function_2018	ligand-dependent nuclear receptor binding (GO:0016922)	1/17	0.05949163205762846	1.0	0	0	16.33986928104575	46.10979761450778	SMARCE1
GO_Molecular_Function_2018	poly-purine tract binding (GO:0070717)	1/20	0.0696216623496152	1.0	0	0	13.888888888888891	37.009437769606905	DDX1
GO_Molecular_Function_2018	mitogen-activated protein kinase binding (GO:0051019)	1/20	0.0696216623496152	1.0	0	0	13.888888888888891	37.009437769606905	NBR1
GO_Molecular_Function_2018	AU-rich element binding (GO:0017091)	1/21	0.07297437040523923	1.0	0	0	13.227513227513228	34.62496018279864	EXOSC9
GO_Molecular_Function_2018	N-acetyltransferase activity (GO:0008080)	1/22	0.07631516402502538	1.0	0	0	12.626262626262625	32.485904271486	SMARCE1
